text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
My mom texts me saying I should get a raise for still coming into work while battling the flu...She right 😉😂,FALSE,0,NA,3/5/19 17:09,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",savannahjeank,0,FALSE,FALSE,NA,NA,,,
@TorrensJonathan That's a pretty stupid thing to do during flu season. https://t.co/OQFXgPO4EX,FALSE,0,TorrensJonathan,3/5/19 17:09,FALSE,1.10297E+18,1.10298E+18,78195200,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",TradingTaylor,0,FALSE,FALSE,NA,NA,,,
"Just awesome... Now I got a feber, so instead of a random virus, I now have the flu... Best work week ever..",FALSE,0,NA,3/5/19 17:09,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Oleole56,0,FALSE,FALSE,NA,NA,,,
People More Likely To Wash Hands During Flu Season https://t.co/ftU6yHILZV,FALSE,0,NA,3/5/19 17:09,FALSE,NA,1.10298E+18,NA,"<a href=\http://www.hubspot.com/\"" rel=\""nofollow\"">HubSpot</a>""",HillyardInc,0,FALSE,FALSE,NA,NA,,,
Praying for @melmrichey! Wow. Didn't know the flu could do that to you. 😂 https://t.co/wz0NEnXzpt,FALSE,0,NA,3/5/19 17:09,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Richiethe4th,0,FALSE,FALSE,NA,NA,,,
@Rip4V @LRKundell @ABC So what your saying is that everyone who gets the flu injection won’t get the flu? And becau… https://t.co/EOrWjhrtYw,FALSE,0,Rip4V,3/5/19 17:07,TRUE,1.10296E+18,1.10298E+18,2829991644,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KandyFoley3,0,FALSE,FALSE,NA,NA,,,
this girl sitting across from me just sneezed on her table and then instead of wiping it down she got up and moved… https://t.co/axhA8vVMVt,FALSE,0,NA,3/5/19 17:07,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",moats_rachel,0,FALSE,FALSE,NA,NA,,,
Do you know how you'll survive a flu epidemic? https://t.co/y90pQ4oBqO,FALSE,0,NA,3/5/19 17:07,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",USStandard,0,FALSE,FALSE,NA,NA,,,
@ChrisJZullo Stupid TONS of ppl get the shot AND the flu cause if you knew ANYTHING abt the flu shot you wld know i… https://t.co/6Penycv03b,FALSE,0,ChrisJZullo,3/5/19 17:07,TRUE,1.10296E+18,1.10298E+18,321774180,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",freerange4748,0,FALSE,FALSE,NA,NA,,,
Hate having the flu but at least I can stay home and watch legally blonde🤪,FALSE,0,NA,3/5/19 17:07,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DARBYELIZABETH_,0,FALSE,FALSE,NA,NA,,,
